Window_Index,Anomaly_Score
0,0.44870773
1,0.51397645
2,0.50438017
3,0.47850835
4,0.5167756
5,0.52355975
6,0.53610617
7,0.54015553
8,0.5652282
9,0.569419
10,0.5644445
11,0.5594873
12,0.5294775
13,0.5308352
14,0.51004434
15,0.5016486
16,0.49765334
17,0.5125043
18,0.5163056
19,0.5086324
20,0.5287796
21,0.5460159
22,0.58538663
23,0.59603417
24,0.6167548
25,0.6486324
26,0.65281093
27,0.65743554
28,0.6553449
29,0.65655494
30,0.6567637
31,0.6537287
32,0.65533066
33,0.64204013
34,0.64198
35,0.63263017
36,0.5753006
37,0.5396176
38,0.52157474
39,0.5266108
40,0.5542937
41,0.5348651
42,0.57705414
43,0.6285625
44,0.63758093
45,0.64225197
46,0.64970565
47,0.65385544
48,0.6548819
49,0.6671124
50,0.66975594
51,0.6728787
52,0.67095006
53,0.6640592
54,0.6604597
55,0.6536173
56,0.6583444
57,0.6530172
58,0.6550649
59,0.6561239
60,0.6437631
61,0.62971556
62,0.6039513
63,0.59179133
64,0.584427
65,0.5791483
66,0.5881112
67,0.59652555
68,0.6158906
69,0.6225954
70,0.60618895
71,0.5919672
72,0.5771865
73,0.5320058
74,0.5058021
75,0.48501083
76,0.5073255
77,0.53586143
78,0.5336717
79,0.5668376
80,0.61631745
81,0.6221886
82,0.6057234
83,0.6069454
84,0.60163987
85,0.5826093
86,0.5733256
87,0.56995827
88,0.5752369
89,0.5809499
90,0.55676246
91,0.54668367
92,0.5538799
93,0.5484385
94,0.5581717
95,0.5646387
96,0.5857014
97,0.6201065
98,0.61951476
99,0.6263297
100,0.62408763
101,0.6370972
102,0.63418496
103,0.63065046
104,0.6478704
105,0.64695585
106,0.6447715
107,0.64930266
108,0.6478702
109,0.6527017
110,0.6435322
111,0.63382846
112,0.624564
113,0.57387084
114,0.5420026
115,0.51510656
116,0.5108198
117,0.5217027
118,0.50267506
119,0.53721786
120,0.59326196
121,0.5916156
122,0.5964434
123,0.5940186
124,0.6091591
125,0.6093374
126,0.56926835
127,0.5205905
128,0.48720607
129,0.49770787
