frame,right_knee_filtered,left_knee_filtered,norm_right_hip_x,norm_right_hip_y,norm_right_shoulder_x,norm_right_shoulder_y,frame_torso_length_px,scale_used_px
1,0.8239406361669662,0.8586202322798804,-0.09276127,-0.0137867145,-0.1264564,-0.35995528,85.89991,268.5102263081893
2,5.914283189447884,6.243528136329382,-0.014079604,-0.048691925,0.062553994,-0.2614434,60.78376,268.5102263081893
3,20.54077674397692,21.83537363703695,-0.0077067306,-0.039467897,0.03039776,-0.19001907,44.463177,268.5102263081893
4,47.29544654511602,50.202537594379756,-0.043466743,-0.041583363,-0.035474055,-0.19988537,39.486683,268.5102263081893
5,83.31546226554977,87.55504212490736,-0.041757368,-0.037525076,-0.042029686,-0.15333176,28.704346,268.5102263081893
6,121.90434599855291,126.07080131735785,-0.04665591,-0.042279612,-0.12845309,-0.19298491,34.329483,268.5102263081893
7,155.778812997518,158.1447873056795,-0.023036996,-0.052545063,0.017827952,-0.14277671,20.487127,268.5102263081893
8,179.74025405211702,179.15480895862845,-0.041451864,-0.05761977,-0.079185836,-0.21906002,31.933569,268.5102263081893
9,192.0082175225529,188.25888815305012,-0.04133639,-0.060104042,-0.08290009,-0.2173894,30.598804,268.5102263081893
10,194.0033644934976,187.68647518184335,-0.055645578,-0.06465434,-0.10102855,-0.2095714,26.352413,268.5102263081893
11,189.12746147189455,181.28380334043095,-0.09156789,-0.05856822,-0.1804226,-0.23422322,33.506237,268.5102263081893
12,181.40361884072493,173.09653408560268,-0.08150304,-0.057613745,-0.091732,-0.23223266,35.131508,268.5102263081893
13,174.31260800037856,166.30385229271766,-0.03566136,-0.058374666,0.02842516,-0.19798766,32.381542,268.5102263081893
14,169.85819316593637,162.5809495216702,0.012536621,-0.06438146,0.12224024,-0.17924798,30.041037,268.5102263081893
15,168.26777414126337,162.06076098318243,-0.050028283,-0.0596917,-0.115527764,-0.20065664,32.751804,268.5102263081893
16,168.4018457416522,163.78930282915744,-0.05146943,-0.05666995,-0.13436498,-0.21411966,37.108467,268.5102263081893
17,168.73009259061809,166.37331841348373,-0.028292412,-0.067856915,-0.020170612,-0.20381716,34.221584,268.5102263081893
18,168.5903347230623,168.61323799364723,-0.036471948,-0.06358394,-0.054173514,-0.25602204,45.05217,268.5102263081893
19,168.50575157374226,169.8732970454772,-0.04982825,-0.06571508,-0.11599921,-0.26464462,45.662643,268.5102263081893
20,169.230344031461,170.0628627721931,-0.04900675,-0.06468753,-0.07789926,-0.2744393,47.23962,268.5102263081893
21,170.94244399448948,169.44177973338745,-0.027116762,-0.058392167,0.024944585,-0.26136246,45.607384,268.5102263081893
22,173.2857821470325,168.47115469649196,-0.02504551,-0.047222592,0.015616677,-0.23038769,40.2947,268.5102263081893
23,175.6973717436899,167.65300495863843,-0.08407483,-0.036329765,-0.130152,-0.2987573,58.88836,268.5102263081893
24,177.64849697160972,167.29919248575908,-0.08389935,-0.03403859,-0.15509431,-0.28290683,57.025185,268.5102263081893
25,178.81808254868315,167.3906002427492,-0.10047618,-0.034934763,-0.16975765,-0.28407282,61.816235,268.5102263081893
26,179.1576596663761,167.65996201231457,-0.09360368,-0.035979934,-0.14623739,-0.28294718,61.154266,268.5102263081893
