frame,right_knee_filtered,left_knee_filtered,norm_right_hip_x,norm_right_hip_y,norm_right_shoulder_x,norm_right_shoulder_y,frame_torso_length_px,scale_used_px
1,0.8239406361669662,0.8586202322798804,-0.2899578,-0.0430952,-0.3952837,-1.1251662,85.89991,85.89991
2,5.914283189447884,6.243528136329382,-0.062196176,-0.21509495,0.27633017,-1.1549175,60.78376,60.78376
3,20.54077674397692,21.83537363703695,-0.046540443,-0.23834406,0.18357009,-1.1475128,44.463177,44.463177
4,47.29544654511602,50.202537594379756,-0.2955747,-0.28276768,-0.24122427,-1.3592244,39.486683,39.486683
5,83.31546226554977,87.55504212490736,-0.39061263,-0.35102233,-0.39316,-1.4343174,28.704346,28.704346
6,121.90434599855291,126.07080131735785,-0.36492214,-0.33069268,-1.0047039,-1.5094436,34.329483,34.329483
7,155.778812997518,158.1447873056795,-0.30192953,-0.6886708,0.2336583,-1.8712729,20.487127,20.487127
8,179.74025405211702,179.15480895862845,-0.34854385,-0.48449007,-0.6658262,-1.8419443,31.933569,31.933569
9,192.0082175225529,188.25888815305012,-0.36273453,-0.5274242,-0.7274638,-1.9076326,30.598804,30.598804
10,194.0033644934976,187.68647518184335,-0.56698436,-0.6587765,-1.0294008,-2.1353667,26.352413,26.352413
11,189.12746147189455,181.28380334043095,-0.7338011,-0.4693504,-1.4458596,-1.8770036,33.506237,33.506237
12,181.40361884072493,173.09653408560268,-0.62292796,-0.440342,-0.701108,-1.7749549,35.131508,35.131508
13,174.31260800037856,166.30385229271766,-0.29570672,-0.48404717,0.2357036,-1.6417289,32.381542,32.381542
14,169.85819316593637,162.5809495216702,0.11205375,-0.5754488,1.0925972,-1.6021389,30.041037,30.041037
15,168.26777414126337,162.06076098318243,-0.41014856,-0.4893725,-0.94713515,-1.64505,32.751804,32.751804
16,168.4018457416522,163.78930282915744,-0.3724236,-0.4100536,-0.97224087,-1.5493315,37.108467,37.108467
17,168.73009259061809,166.37331841348373,-0.2219886,-0.5324206,-0.15826315,-1.5991951,34.221584,34.221584
18,168.5903347230623,168.61323799364723,-0.21737224,-0.37895927,-0.3228733,-1.5258874,45.05217,45.05217
19,168.50575157374226,169.8732970454772,-0.29300526,-0.38642466,-0.6821106,-1.5561907,45.662643,45.662643
20,169.230344031461,170.0628627721931,-0.2785546,-0.36768422,-0.44277978,-1.5599142,47.23962,47.23962
21,170.94244399448948,169.44177973338745,-0.159648,-0.34377974,0.14685947,-1.538753,45.607384,45.607384
22,173.2857821470325,168.47115469649196,-0.1668948,-0.31467533,0.10406424,-1.5352255,40.2947,40.2947
23,175.6973717436899,167.65300495863843,-0.38335168,-0.16565096,-0.5934474,-1.3622283,58.88836,58.88836
24,177.64849697160972,167.29919248575908,-0.3950506,-0.16027497,-0.730281,-1.3321023,57.025185,57.025185
25,178.81808254868315,167.3906002427492,-0.43643683,-0.15174559,-0.7373737,-1.2339227,61.816235,61.816235
26,179.1576596663761,167.65996201231457,-0.41098595,-0.15797721,-0.64208496,-1.2423371,61.154266,61.154266
27,178.85226376507092,167.83478002858863,-0.40712944,-0.16458604,-0.6396219,-1.256248,60.212803,60.212803
28,178.253198240527,167.83639760444183,-0.44249097,-0.18984656,-0.7422546,-1.3083053,53.975216,53.975216
29,177.73747099444526,167.7990099295657,-0.313903,-0.11936853,-0.5123838,-1.200721,58.82574,58.82574
30,177.52852005239117,168.01242418895444,-0.30850294,-0.11347993,-0.5030388,-1.179864,60.70576,60.70576
31,177.5915935412793,168.79801784363883,-0.30478427,-0.14789368,-0.48802644,-1.228713,69.57005,69.57005
32,177.61751210460136,170.24451289289127,-0.33278635,-0.13891032,-0.48550576,-1.2282436,71.23139,71.23139
33,177.22982874248132,172.06063279943493,-0.33702713,-0.14220406,-0.5034349,-1.2255646,70.43071,70.43071
34,176.3723454212802,173.74786106361339,-0.31506926,-0.123393685,-0.4721321,-1.1979368,70.76236,70.76236
35,175.37901779875753,174.91312191033867,-0.3033204,-0.06533912,-0.4027845,-1.0610838,85.25794,85.25794
36,174.61366070875133,175.4937055309022,-0.20356716,-0.054344054,-0.20321523,-1.0152956,88.79649,88.79649
37,174.2032202994628,175.73540977528165,-0.23580754,-0.054151844,-0.32619596,-0.99989575,92.67729,92.67729
