frame,right_knee_filtered,left_knee_filtered,norm_right_hip_x,norm_right_hip_y,norm_right_shoulder_x,norm_right_shoulder_y,frame_torso_length_px,scale_used_px
1,0.8239406361669662,0.8586202322798804,-0.02306236,-0.0034276608,-0.031439662,-0.08949229,85.89991,1080.0
2,5.914283189447884,6.243528136329382,-0.0035004793,-0.012105814,0.01555221,-0.065000206,60.78376,1080.0
3,20.54077674397692,21.83537363703695,-0.0019160518,-0.009812532,0.0075575085,-0.047242653,44.463177,1080.0
4,47.29544654511602,50.202537594379756,-0.010806726,-0.01033848,-0.00881958,-0.049695615,39.486683,1080.0
5,83.31546226554977,87.55504212490736,-0.010381741,-0.009329506,-0.010449445,-0.03812143,28.704346,1080.0
6,121.90434599855291,126.07080131735785,-0.011599618,-0.010511582,-0.03193608,-0.047980018,34.329483,1080.0
7,155.778812997518,158.1447873056795,-0.0057274713,-0.013063784,0.0044323956,-0.035497226,20.487127,1080.0
8,179.74025405211702,179.15480895862845,-0.0103057865,-0.0143254595,-0.019687228,-0.054462828,31.933569,1080.0
9,192.0082175225529,188.25888815305012,-0.010277077,-0.014943101,-0.020610668,-0.05404748,30.598804,1080.0
10,194.0033644934976,187.68647518184335,-0.013834636,-0.0160744,-0.025117775,-0.05210376,26.352413,1080.0
11,189.12746147189455,181.28380334043095,-0.02276566,-0.014561265,-0.04485677,-0.05823271,33.506237,1080.0
12,181.40361884072493,173.09653408560268,-0.020263333,-0.014323962,-0.022806464,-0.057737816,35.131508,1080.0
13,174.31260800037856,166.30385229271766,-0.008866148,-0.014513143,0.00706708,-0.049223807,32.381542,1080.0
14,169.85819316593637,162.5809495216702,0.003116862,-0.016006555,0.030391438,-0.044564735,30.041037,1080.0
15,168.26777414126337,162.06076098318243,-0.012438061,-0.014840585,-0.028722579,-0.049887367,32.751804,1080.0
16,168.4018457416522,163.78930282915744,-0.012796359,-0.014089316,-0.033405896,-0.05323455,37.108467,1080.0
17,168.73009259061809,166.37331841348373,-0.007034076,-0.016870625,-0.0050148293,-0.05067314,34.221584,1080.0
