frame,right_knee_filtered,left_knee_filtered,norm_right_hip_x,norm_right_hip_y,norm_right_shoulder_x,norm_right_shoulder_y,frame_torso_length_px,scale_used_px
1,6.375628963457583,7.288392062182167,-0.22455496,0.00925533,-0.3380163,-0.54834044,92.28364,164.64395919075415
2,37.79049805604515,43.12068081979951,-0.20740369,0.017046725,-0.25642008,-0.4772275,81.88235,164.64395919075415
3,100.5711872165433,113.89903382682631,-0.21578988,0.007355256,-0.29789287,-0.42940372,72.087975,164.64395919075415
4,163.3748567114665,181.4467601608534,-0.20143786,0.0052490677,-0.27719057,-0.45787108,76.88008,164.64395919075415
5,190.4907740070326,203.46778809994424,-0.2073377,0.011093681,-0.34048447,-0.5092739,83.20383,164.64395919075415
6,184.32659105519346,186.04402503680097,-0.22166045,0.030273842,-0.4073954,-0.4466167,75.5962,164.64395919075415
7,171.8488953138277,164.33935144285647,-0.2155923,0.023161957,-0.40819502,-0.41235068,71.609375,164.64395919075415
8,169.19272806599383,157.01545960487914,-0.20728543,0.020315647,-0.3724037,-0.36807567,70.44159,164.64395919075415
9,169.7605089987115,161.00450139107195,-0.20316425,0.009294069,-0.37692305,-0.3794192,71.75299,164.64395919075415
10,159.79871863611646,168.73276789519406,-0.210812,0.012103494,-0.48851305,-0.39015815,73.64598,164.64395919075415
11,141.53034518169778,172.4974269923424,-0.20361318,0.021870404,-0.4036668,-0.4397897,82.055046,164.64395919075415
12,131.72753837767422,168.71659096912737,-0.17710556,0.028770985,-0.33018765,-0.33912677,64.74465,164.64395919075415
13,136.9809633008932,164.20126385437882,-0.17881417,0.018457463,-0.33323193,-0.34504625,65.10037,164.64395919075415
14,144.91623803127808,164.72235918966192,-0.20925204,0.013430266,-0.39174995,-0.41257256,75.87739,164.64395919075415
15,142.86569237604635,166.99496966468217,-0.22084266,0.02566425,-0.44268033,-0.38627532,70.44401,164.64395919075415
16,135.35843843731945,168.75017127772693,-0.21916631,0.018310292,-0.43546963,-0.40645602,74.701546,164.64395919075415
17,137.39494039011052,171.41274658182377,-0.22011274,0.029478855,-0.47021702,-0.39369026,69.79953,164.64395919075415
18,152.87804043028626,174.27480071222743,-0.22780904,0.022771044,-0.5167867,-0.43670022,77.31798,164.64395919075415
19,168.93048663309673,175.58127251988412,-0.2495282,0.023463901,-0.51464474,-0.42137748,74.258385,164.64395919075415
