frame,right_knee_filtered,left_knee_filtered,norm_right_hip_x,norm_right_hip_y,norm_right_shoulder_x,norm_right_shoulder_y,frame_torso_length_px,scale_used_px
1,6.375628963457583,7.288392062182167,-0.40063027,0.016512508,-0.60305756,-0.9782985,92.28364,92.28364
2,37.79049805604515,43.12068081979951,-0.41703454,0.034276504,-0.51559365,-0.95957965,81.88235,81.88235
3,100.5711872165433,113.89903382682631,-0.49284923,0.016798899,-0.6803668,-0.9807285,72.087975,72.087975
4,163.3748567114665,181.4467601608534,-0.43139297,0.011241238,-0.5936226,-0.9805623,76.88008,76.88008
5,190.4907740070326,203.46778809994424,-0.41028044,0.021952206,-0.67375165,-1.0077527,83.20383,83.20383
6,184.32659105519346,186.04402503680097,-0.4827631,0.065934606,-0.88728267,-0.9727043,75.5962,75.5962
7,171.8488953138277,164.33935144285647,-0.4956889,0.053253874,-0.93852025,-0.94807494,71.609375,71.609375
8,169.19272806599383,157.01545960487914,-0.48449072,0.047484003,-0.8704237,-0.8603077,70.44159,70.44159
9,169.7605089987115,161.00450139107195,-0.46617943,0.021326113,-0.8648853,-0.870613,71.75299,71.75299
10,159.79871863611646,168.73276789519406,-0.4712942,0.02705874,-1.0921265,-0.87224287,73.64598,73.64598
11,141.53034518169778,172.4974269923424,-0.40855113,0.043883104,-0.80996,-0.8824408,82.055046,82.055046
12,131.72753837767422,168.71659096912737,-0.45037484,0.07316387,-0.8396586,-0.8623905,64.74465,64.74465
13,136.9809633008932,164.20126385437882,-0.4522351,0.046680376,-0.84276974,-0.87264913,65.10037,65.10037
14,144.91623803127808,164.72235918966192,-0.45404947,0.029141912,-0.850046,-0.89522827,75.87739,75.87739
15,142.86569237604635,166.99496966468217,-0.5161605,0.0599833,-1.0346465,-0.9028149,70.44401,70.44401
16,135.35843843731945,168.75017127772693,-0.48304772,0.040356312,-0.95978534,-0.8958387,74.701546,74.701546
17,137.39494039011052,171.41274658182377,-0.51920456,0.06953508,-1.1091535,-0.9286413,69.79953,69.79953
18,152.87804043028626,174.27480071222743,-0.4851056,0.048489563,-1.1004661,-0.92992675,77.31798,77.31798
19,168.93048663309673,175.58127251988412,-0.5532481,0.052023616,-1.1410584,-0.93426836,74.258385,74.258385
20,174.36268701512478,175.45055178468024,-0.5036766,0.097646564,-1.080372,-0.7646309,70.02695,70.02695
21,172.8144604012411,175.0916230675661,-0.5056942,0.12576558,-1.158674,-0.7063846,66.487564,66.487564
22,172.26590114851314,174.90046274532122,-0.5185307,0.12285708,-1.1257975,-0.74042547,67.682274,67.682274
23,172.8494544653402,174.8862904991894,-0.35602224,0.12385926,-0.9709901,-0.603571,85.389366,85.389366
24,171.65342781641877,176.02460424790985,-0.36532757,0.1572575,-0.9766279,-0.6578708,82.572845,82.572845
25,170.28312458814705,177.86285305892085,-0.34531316,0.17588349,-0.9574202,-0.66158485,87.78193,87.78193
26,171.01219654351956,176.86379178488158,-0.3205212,0.15726529,-0.84517384,-0.7708892,97.18763,97.18763
27,171.3302376790287,171.01110154381936,-0.3336153,0.1523098,-0.9311723,-0.7128832,89.85295,89.85295
29,168.35605583602202,164.53490849093762,-0.19787614,0.10155365,-0.80872977,-0.6570489,123.04678,123.04678
30,165.34577712641183,164.6076894484648,-0.26586035,0.13735743,-0.9552053,-0.5499662,101.08048,101.08048
31,166.69070760511352,172.3589485045902,-0.29161867,0.11741393,-0.9425104,-0.7168637,102.98981,102.98981
32,169.2705374212456,180.60167165594734,-0.28087637,0.10174408,-0.9033216,-0.6809043,106.4989,106.4989
33,168.0581350115217,182.7432092794951,-0.296708,0.08841289,-0.91278934,-0.7554052,104.14987,104.14987
34,163.73642877720889,179.85651130184863,-0.22879905,0.08124982,-0.7761413,-0.7666902,127.268166,127.268166
35,158.26342385880693,176.98002197125751,-0.23667164,0.08262253,-0.7389733,-0.74928594,123.75271,123.75271
36,153.62621686890432,176.56456749332364,-0.2415426,0.06962241,-0.7624936,-0.7570684,120.907135,120.907135
37,153.5510240228689,177.31082357557435,-0.33157167,0.12037004,-0.96592224,-0.64293206,94.623985,94.623985
38,158.1420990235616,177.0875985245621,-0.30642635,0.110563286,-0.87677443,-0.7211621,102.93001,102.93001
39,162.45005254184892,175.84935770957827,-0.31100675,0.11410949,-0.85069185,-0.7281165,104.43418,104.43418
40,162.75346001939434,174.95845810795944,-0.26458973,0.06623629,-0.71529436,-0.78259367,123.13455,123.13455
41,160.82532015003648,174.32017907256798,-0.17725933,0.049774252,-0.6246484,-0.83053064,148.32777,148.32777
42,160.81909796779644,173.38558430954845,-0.20397654,0.06285127,-0.6879423,-0.7986946,135.38945,135.38945
43,162.338993469834,172.99851411917385,-0.21713765,0.06568221,-0.7228425,-0.7909175,130.38345,130.38345
44,161.29404236075072,173.2080307126054,-0.18859896,0.05373309,-0.6767873,-0.8002371,140.8703,140.8703
45,157.82893928279847,172.58875474170293,-0.1969256,0.052361324,-0.69474846,-0.7909707,138.24883,138.24883
46,156.5769129150766,170.8425783186926,-0.19939266,0.059105493,-0.68795073,-0.78100425,134.45952,134.45952
47,159.43479367774898,169.7111465941941,-0.16714334,0.075212464,-0.6778637,-0.7874719,142.11003,142.11003
48,163.03007178611412,171.3876259063083,-0.15469836,0.048640236,-0.68371034,-0.79625386,149.84033,149.84033
49,163.29020411172303,175.78434502779058,-0.16673703,0.05687121,-0.6954596,-0.7695742,148.65184,148.65184
50,159.74530181037326,179.5510531551477,-0.19684437,0.05734623,-0.7294367,-0.73714,147.1459,147.1459
51,154.8602402266805,179.69150961993466,-0.16320373,0.059539873,-0.735643,-0.73151946,150.81323,150.81323
52,152.18062329459073,177.06658872992185,-0.16724169,0.06826585,-0.75944775,-0.6943294,147.05879,147.05879
53,154.95853497383803,174.53074851834418,-0.18402272,0.070573494,-0.8069495,-0.63339365,141.59204,141.59204
54,163.3017569264987,173.23228568544505,-0.16694878,0.100765616,-0.81894535,-0.6037921,145.1185,145.1185
55,172.17924489529491,172.47865480854608,-0.17459944,0.103996195,-0.8276685,-0.57679045,143.34044,143.34044
56,174.93958468907138,172.03990750104828,-0.18266828,0.086614974,-0.81904894,-0.58324075,142.44911,142.44911
57,172.09674719258084,172.52552811882754,-0.1683453,0.085450105,-0.82421184,-0.5817236,143.45566,143.45566
58,170.65849490481844,173.90406980214567,-0.16103283,0.0860109,-0.83995306,-0.578974,141.166,141.166
59,171.5582038692587,175.1848230246297,-0.16294986,0.06417579,-0.8372839,-0.57223403,140.41432,140.41432
60,170.5719671744196,175.3450461418792,-0.12402973,0.062656574,-0.83502394,-0.5643654,145.47638,145.47638
