frame,right_knee_filtered,left_knee_filtered,norm_right_hip_x,norm_right_hip_y,norm_right_shoulder_x,norm_right_shoulder_y,frame_torso_length_px,scale_used_px
1,6.375628963457583,7.288392062182167,-0.05134947,0.0021164364,-0.07729492,-0.1253902,92.28364,720.0
2,37.79049805604515,43.12068081979951,-0.047427453,0.0038981119,-0.058636136,-0.109128654,81.88235,720.0
3,100.5711872165433,113.89903382682631,-0.049345143,0.0016819424,-0.06811981,-0.098192684,72.087975,720.0
4,163.3748567114665,181.4467601608534,-0.046063233,0.0012003157,-0.06338577,-0.104702376,76.88008,720.0
5,190.4907740070326,203.46778809994424,-0.047412362,0.002536816,-0.07785933,-0.11645678,83.20383,720.0
6,184.32659105519346,186.04402503680097,-0.050687578,0.0069227857,-0.093159996,-0.10212881,75.5962,720.0
7,171.8488953138277,164.33935144285647,-0.04929996,0.0052964953,-0.09334285,-0.094293125,71.609375,720.0
8,169.19272806599383,157.01545960487914,-0.04740041,0.0046456233,-0.08515837,-0.084168665,70.44159,720.0
9,169.7605089987115,161.00450139107195,-0.04645801,0.002125295,-0.08619181,-0.08676262,71.75299,720.0
10,159.79871863611646,168.73276789519406,-0.04820684,0.0027677324,-0.11170934,-0.08921831,73.64598,720.0
11,141.53034518169778,172.4974269923424,-0.046560667,0.005001153,-0.09230737,-0.10056767,82.055046,720.0
12,131.72753837767422,168.71659096912737,-0.040499114,0.0065791234,-0.07550473,-0.077548854,64.74465,720.0
13,136.9809633008932,164.20126385437882,-0.040889826,0.0042207083,-0.076200865,-0.078902476,65.10037,720.0
14,144.91623803127808,164.72235918966192,-0.04785012,0.003071128,-0.08958232,-0.09434386,75.87739,720.0
15,142.86569237604635,166.99496966468217,-0.05050057,0.0058687,-0.10122867,-0.08833042,70.44401,720.0
16,135.35843843731945,168.75017127772693,-0.05011724,0.004187054,-0.09957979,-0.09294518,74.701546,720.0
17,137.39494039011052,171.41274658182377,-0.05033366,0.006740994,-0.10752555,-0.090026006,69.79953,720.0
18,152.87804043028626,174.27480071222743,-0.05209359,0.005207104,-0.11817475,-0.09986119,77.31798,720.0
19,168.93048663309673,175.58127251988412,-0.057060156,0.005365541,-0.11768494,-0.0963573,74.258385,720.0
20,174.36268701512478,175.45055178468024,-0.04898741,0.009497071,-0.105076596,-0.07436773,70.02695,720.0
21,172.8144604012411,175.0916230675661,-0.046697743,0.011613676,-0.10699641,-0.065230265,66.487564,720.0
22,172.26590114851314,174.90046274532122,-0.048743524,0.011548953,-0.105828516,-0.06960233,67.682274,720.0
23,172.8494544653402,174.8862904991894,-0.042222936,0.014689255,-0.115155876,-0.07158131,85.389366,720.0
24,171.65342781641877,176.02460424790985,-0.041897412,0.018034998,-0.11200409,-0.07544759,82.572845,720.0
25,170.28312458814705,177.86285305892085,-0.042100355,0.0214436,-0.11672804,-0.08065999,87.78193,720.0
26,171.01219654351956,176.86379178488158,-0.043264855,0.021228112,-0.114083946,-0.104056805,97.18763,720.0
27,171.3302376790287,171.01110154381936,-0.041633777,0.01900762,-0.11620636,-0.088964805,89.85295,720.0
29,168.35605583602202,164.53490849093762,-0.0338167,0.017355347,-0.13821055,-0.11228854,123.04678,720.0
30,165.34577712641183,164.6076894484648,-0.037324015,0.01928355,-0.13410085,-0.07720952,101.08048,720.0
31,166.69070760511352,172.3589485045902,-0.041713543,0.016795052,-0.13481802,-0.10254118,102.98981,720.0
