frame,right_knee_filtered,left_knee_filtered,norm_right_hip_x,norm_right_hip_y,norm_right_shoulder_x,norm_right_shoulder_y,frame_torso_length_px,scale_used_px
63,2.891717498208778,1.4483605283849508,-0.09261065,0.031204551,-0.9419803,-0.5167257,149.02728,149.02728
65,19.714154450235426,12.246920965100008,-0.18551996,-0.012798472,-0.3051326,-0.9853494,131.55362,131.55362
66,62.10992386821838,46.01911841294979,-0.19283503,-0.015207588,-0.28507888,-0.9891928,131.17215,131.17215
67,122.26321724648693,104.10245539647367,-0.19508404,-0.015144042,-0.28051022,-0.9982701,129.95326,129.95326
68,173.06322735525566,163.15656783790692,-0.19503322,-0.013706064,-0.27551693,-0.9998828,128.90088,128.90088
69,194.56608421379985,195.5512885995367,-0.19586053,-0.01348234,-0.27715147,-0.9989522,128.48885,128.48885
70,190.58926990478395,196.52615101045436,-0.1963028,-0.010361527,-0.2780238,-0.9994221,126.71175,126.71175
71,178.7287600437583,182.84221068628392,-0.19689898,-0.008269217,-0.278392,-0.9982035,126.25214,126.25214
72,172.46510422595742,172.55911524570925,-0.19697402,-0.008201113,-0.27953064,-0.9972016,126.15818,126.15818
73,173.91638901531903,171.8331612569581,-0.19763212,-0.007318288,-0.28127366,-0.99695283,125.73932,125.73932
74,178.16256378211665,176.5327245873932,-0.19779831,-0.008072578,-0.28157395,-0.9972705,125.69832,125.69832
75,180.50732739156254,180.56592912999648,-0.19839683,-0.00866464,-0.28497952,-0.9972848,125.48124,125.48124
76,179.9854618490141,181.3800840436374,-0.1986404,-0.008593043,-0.2861913,-0.99763596,125.404495,125.404495
77,178.31840079513526,180.03907697440167,-0.19917351,-0.008722137,-0.28702232,-0.99740404,125.290855,125.290855
78,177.28934401826075,178.62737281917754,-0.19893363,-0.009052992,-0.286568,-0.99729836,125.12454,125.12454
79,177.35102065833348,178.21981544045153,-0.19933918,-0.00941772,-0.28750685,-0.9969158,125.045425,125.045425
80,177.93685141794688,178.60750530108677,-0.19871727,-0.009581325,-0.28712893,-0.99730885,125.09522,125.09522
81,178.36169854372375,179.1041062609232,-0.19876285,-0.00970799,-0.2868375,-0.9971136,125.072525,125.072525
82,178.3469764346564,179.2969866070951,-0.1990259,-0.0096064275,-0.2872466,-0.99668527,125.108246,125.108246
83,178.02517795956015,179.20742998037693,-0.19898397,-0.0097747985,-0.28710818,-0.9963527,125.088745,125.088745
84,177.68603197014335,179.0396736645742,-0.19888133,-0.009344354,-0.28675127,-0.9958769,125.16174,125.16174
85,177.52430599385826,178.93168013595033,-0.19840184,-0.009346056,-0.2857919,-0.9955106,125.26304,125.26304
86,177.54991966436785,178.89709515576,-0.198904,-0.009054506,-0.28459293,-0.99522716,125.31595,125.31595
87,177.66413878389585,178.8801986709167,-0.19870284,-0.008957248,-0.28428793,-0.99478495,125.36494,125.36494
88,177.77542198167498,178.8106388327056,-0.19779673,-0.008248308,-0.28302407,-0.99471164,125.51772,125.51772
89,177.84488778379884,178.6589681303728,-0.19699258,-0.008023885,-0.2832884,-0.9951378,125.47225,125.47225
