frame,right_knee_filtered,left_knee_filtered,norm_right_hip_x,norm_right_hip_y,norm_right_shoulder_x,norm_right_shoulder_y,frame_torso_length_px,scale_used_px
370,3.118835538443889,4.4733111549874165,-0.2508222,-0.041592646,-0.19775885,-0.9600046,82.75688,82.75688
371,19.738065963549637,28.387800863011684,-0.26074713,-0.034728453,-0.20272294,-0.9844621,82.33786,82.33786
372,57.14161065241353,82.08912258655488,-0.22239842,-0.03399147,-0.18344738,-1.0393192,107.68226,107.68226
373,102.91956183637339,146.6619183816606,-0.11733314,-0.020627894,0.03414419,-1.0271611,104.43167,104.43167
374,134.48826978610302,187.40771038722,-0.17568524,-0.06669663,-0.03739524,-1.0227175,130.8767,130.8767
375,143.13151385899627,189.42862981644348,-0.18087776,-0.06386068,-0.07150284,-1.021985,111.800865,111.800865
376,136.95532514447783,164.53270042104444,-0.16994262,-0.03784976,-0.03557544,-1.007621,117.69217,117.69217
377,128.75426678414084,136.66122382955237,-0.20616384,-0.0018562154,-0.114835486,-0.9771383,119.93529,119.93529
378,128.4752359875293,127.67317009259342,-0.17499432,0.009772017,-0.26516035,-1.0261147,129.17795,129.17795
379,139.23844587174685,143.05537002278936,-0.17152253,0.0060310056,-0.30091012,-0.9677919,132.3321,132.3321
380,155.75699072658878,168.45257927123959,-0.18941909,0.0041752304,-0.35220954,-0.9640454,129.67245,129.67245
381,169.3481993688826,185.10389092553655,-0.19060953,-0.0049879975,-0.3533006,-0.96693337,128.41495,128.41495
382,175.2245543900355,186.2450002135687,-0.19155467,-0.0024262671,-0.35441843,-0.96911955,127.45283,127.45283
383,174.64471087208565,178.31449737461304,-0.19413418,-0.00073301286,-0.3673272,-0.9753908,124.48289,124.48289
384,171.75105727028645,171.30022728874923,-0.18470338,0.001932376,-0.3578242,-0.9726259,125.29987,125.29987
385,169.64307360491222,170.09317995495724,-0.1852491,0.004543381,-0.3578467,-0.96912736,125.98277,125.98277
386,168.96806583336064,173.14127407936095,-0.18199289,0.0022505268,-0.35629693,-0.97654057,125.716545,125.716545
387,168.9749894380645,176.48421017897707,-0.18268815,0.0006020285,-0.35141283,-0.97529054,125.41016,125.41016
388,169.0136927151865,177.81150030928086,-0.18339412,0.008494666,-0.35264868,-0.97883403,125.74311,125.74311
389,169.02626751697818,177.36251655123073,-0.17984715,0.0061593005,-0.34996012,-0.9764688,127.246994,127.246994
390,169.16527339164642,176.43096861035542,-0.18013614,0.006446825,-0.3499447,-0.9806478,127.133995,127.133995
391,169.38499796527324,175.90455948728277,-0.1802251,0.0067681307,-0.35239312,-0.982735,127.402115,127.402115
392,169.47029509964116,175.90596026817752,-0.1786743,0.0060495147,-0.34385923,-0.98543537,128.01259,128.01259
393,169.33382857620694,176.12773633387633,-0.17927541,0.00079388084,-0.33994642,-0.9860221,128.39296,128.39296
394,169.17316615092196,176.23663374461387,-0.17912477,0.002296981,-0.33637795,-0.98301774,128.9933,128.9933
395,169.26289463145204,176.07634192973063,-0.17953394,0.0016494038,-0.3360905,-0.98659694,128.71971,128.71971
396,169.6495993824896,175.7065880537208,-0.18444626,0.0030503748,-0.34194797,-0.9858232,127.44776,127.44776
397,170.16693764953712,175.30055141615043,-0.18548107,0.0034464397,-0.34880957,-0.9859363,126.71237,126.71237
398,170.61837836351464,175.0082374441036,-0.18556891,0.0031243467,-0.35923287,-0.9835688,125.69034,125.69034
399,170.8207417532647,174.9347934846316,-0.18391769,0.0009962674,-0.36245543,-0.9834033,125.40705,125.40705
400,170.65720168863695,175.11333222282911,-0.18258338,0.00054129836,-0.3593067,-0.98038363,125.32935,125.32935
401,170.22947044916938,175.4532355483619,-0.18198392,0.0033321525,-0.35430917,-0.98134714,125.39842,125.39842
