frame,right_knee_filtered,left_knee_filtered,norm_right_hip_x,norm_right_hip_y,norm_right_shoulder_x,norm_right_shoulder_y,frame_torso_length_px,scale_used_px
1,8.057714454050531,7.972507112146425,-0.22870287,-0.017863207,-0.36204284,-1.1392446,519.207,486.0
2,46.7058810350943,46.4369320670584,-0.23101832,-0.035456404,-0.37883666,-1.1662855,531.86206,486.0
3,120.26736831930263,120.16443051477884,-0.23989704,-0.045377754,-0.38412374,-1.2202985,554.56885,486.0
4,185.97692206705077,186.6039464414318,-0.2496113,-0.05931939,-0.38882872,-1.2963935,597.1694,486.0
5,202.85010208304703,204.10537414931673,-0.23395555,-0.046679586,-0.37147743,-1.3009899,595.5675,486.0
6,183.9450313501875,185.38643533495275,-0.2492402,-0.050172154,-0.3802386,-1.3165087,602.61383,486.0
7,167.53209580427784,169.10169937667536,-0.2541323,-0.046698175,-0.3722858,-1.3171991,604.4533,486.0
8,168.46201833558808,170.1555644033348,-0.25342387,-0.047374584,-0.36460406,-1.3112862,600.84357,486.0
9,176.07175262540125,177.5803995683485,-0.2610849,-0.04504771,-0.3556207,-1.3214457,602.30817,486.0
10,178.9022610138801,179.949049350103,-0.2310084,-0.046407063,-0.32097748,-1.340686,611.0111,486.0
11,176.86625860453898,177.76832940986355,-0.24412706,-0.043320894,-0.3348434,-1.3485421,612.4006,486.0
12,174.98207008249003,176.34837709730797,-0.25164318,-0.056020226,-0.34185877,-1.3770702,623.24176,486.0
13,175.376876801087,177.05712920331078,-0.2572117,-0.056259844,-0.34669176,-1.4023644,634.5308,486.0
14,176.76792950910178,177.97073739485828,-0.26378152,-0.054499872,-0.338772,-1.387907,627.1775,486.0
15,177.66051232435163,178.00087340249218,-0.2702158,-0.057009347,-0.3307274,-1.3625892,619.2283,486.0
16,177.8738951816423,177.52014120841932,-0.2739092,-0.05989659,-0.33014354,-1.3481086,613.4457,486.0
17,177.8348911488818,177.17201683177953,-0.27221957,-0.07319396,-0.3404158,-1.3058735,593.61804,486.0
