frame,right_knee_filtered,left_knee_filtered,norm_right_hip_x,norm_right_hip_y,norm_right_shoulder_x,norm_right_shoulder_y,frame_torso_length_px,scale_used_px
1,8.057714454050531,7.972507112146425,-0.2140757,-0.016720729,-0.33888763,-1.0663818,519.207,519.207
2,46.7058810350943,46.4369320670584,-0.21109778,-0.032399025,-0.3461699,-1.0657176,531.86206,531.86206
3,120.26736831930263,120.16443051477884,-0.21023533,-0.03976709,-0.33662933,-1.0694165,554.56885,554.56885
4,185.97692206705077,186.6039464414318,-0.20314354,-0.04827646,-0.31644416,-1.0550562,597.1694,597.1694
5,202.85010208304703,204.10537414931673,-0.19091436,-0.03809187,-0.3031361,-1.0616447,595.5675,595.5675
6,183.9450313501875,185.38643533495275,-0.20100889,-0.040463172,-0.30665734,-1.0617466,602.61383,602.61383
7,167.53209580427784,169.10169937667536,-0.2043306,-0.03754684,-0.29932985,-1.0590706,604.4533,604.4533
8,168.46201833558808,170.1555644033348,-0.20498514,-0.03831954,-0.29491466,-1.0606506,600.84357,600.84357
9,176.07175262540125,177.5803995683485,-0.21066836,-0.036348816,-0.2869489,-1.0662692,602.30817,602.30817
10,178.9022610138801,179.949049350103,-0.18374474,-0.03691231,-0.25530642,-1.0663855,611.0111,611.0111
11,176.86625860453898,177.76832940986355,-0.1937388,-0.034379385,-0.26573113,-1.0702007,612.4006,612.4006
12,174.98207008249003,176.34837709730797,-0.19622977,-0.043684218,-0.26657933,-1.0738306,623.24176,623.24176
13,175.376876801087,177.05712920331078,-0.19700365,-0.043090556,-0.26553822,-1.0740992,634.5308,634.5308
14,176.76792950910178,177.97073739485828,-0.20440437,-0.042231966,-0.2625145,-1.0754895,627.1775,627.1775
15,177.66051232435163,178.00087340249218,-0.21207832,-0.044743665,-0.25957072,-1.0694253,619.2283,619.2283
16,177.8738951816423,177.52014120841932,-0.21700352,-0.04745284,-0.261555,-1.0680339,613.4457,613.4457
17,177.8348911488818,177.17201683177953,-0.2228684,-0.059924502,-0.27870122,-1.0691295,593.61804,593.61804
18,177.8649042547081,177.25137290094625,-0.20871991,-0.045911852,-0.28896266,-1.0676583,579.6497,579.6497
19,178.1384922874115,177.2328600073475,-0.20920269,-0.041700277,-0.29944873,-1.0635334,572.39764,572.39764
