frame,right_knee_filtered,left_knee_filtered,norm_right_hip_x,norm_right_hip_y,norm_right_shoulder_x,norm_right_shoulder_y,frame_torso_length_px,scale_used_px
1,8.057714454050531,7.972507112146425,-0.10291629,-0.0080384435,-0.16291928,-0.51266,519.207,1080.0
2,46.7058810350943,46.4369320670584,-0.10395824,-0.015955381,-0.17047651,-0.5248285,531.86206,1080.0
3,120.26736831930263,120.16443051477884,-0.107953675,-0.020419989,-0.17285569,-0.5491343,554.56885,1080.0
4,185.97692206705077,186.6039464414318,-0.11232509,-0.026693726,-0.17497294,-0.58337706,597.1694,1080.0
5,202.85010208304703,204.10537414931673,-0.10527999,-0.021005815,-0.16716483,-0.5854454,595.5675,1080.0
6,183.9450313501875,185.38643533495275,-0.11215809,-0.02257747,-0.17110737,-0.59242886,602.61383,1080.0
7,167.53209580427784,169.10169937667536,-0.114359535,-0.021014178,-0.16752861,-0.5927396,604.4533,1080.0
8,168.46201833558808,170.1555644033348,-0.11404074,-0.021318562,-0.16407183,-0.5900788,600.84357,1080.0
9,176.07175262540125,177.5803995683485,-0.11748821,-0.02027147,-0.16002932,-0.59465057,602.30817,1080.0
10,178.9022610138801,179.949049350103,-0.10395378,-0.020883178,-0.14443986,-0.6033087,611.0111,1080.0
11,176.86625860453898,177.76832940986355,-0.10985718,-0.019494403,-0.15067953,-0.60684395,612.4006,1080.0
12,174.98207008249003,176.34837709730797,-0.11323943,-0.025209103,-0.15383646,-0.6196816,623.24176,1080.0
13,175.376876801087,177.05712920331078,-0.11574526,-0.025316931,-0.15601128,-0.63106394,634.5308,1080.0
14,176.76792950910178,177.97073739485828,-0.11870168,-0.024524944,-0.1524474,-0.62455815,627.1775,1080.0
15,177.66051232435163,178.00087340249218,-0.12159712,-0.025654206,-0.14882733,-0.6131652,619.2283,1080.0
16,177.8738951816423,177.52014120841932,-0.12325914,-0.026953464,-0.1485646,-0.60664886,613.4457,1080.0
17,177.8348911488818,177.17201683177953,-0.1224988,-0.032937285,-0.15318711,-0.5876431,593.61804,1080.0
