frame,right_knee_filtered,left_knee_filtered,norm_right_hip_x,norm_right_hip_y,norm_right_shoulder_x,norm_right_shoulder_y,frame_torso_length_px,scale_used_px
1,7.390336233869736,7.779131842235823,-0.09208507,-0.060828224,0.3399936,-0.841269,42.972023,49.077140982203645
2,43.409692593345476,45.11749527867844,-0.0976523,-0.07266473,0.3417518,-0.85019785,43.569267,49.077140982203645
3,113.04741036200086,116.01188200957664,-0.06311313,-0.05732484,0.38147703,-0.7692336,42.137066,49.077140982203645
4,175.71066143730135,178.31105798258605,-0.03767847,-0.043207772,0.40868452,-0.7334651,41.307556,49.077140982203645
5,190.3492711010019,191.5086259744941,-0.068653,-0.05870219,0.35450053,-0.6789798,38.761757,49.077140982203645
6,169.29838092687942,168.81748427300218,-0.078704864,-0.0683937,0.33686486,-0.6599301,37.681767,49.077140982203645
7,151.98304396114756,149.02091460587138,-0.064879745,-0.06519688,0.36921954,-0.651564,38.477085,49.077140982203645
8,154.1284820781648,147.06511385345135,-0.086803876,-0.06779488,0.31255788,-0.6111467,37.93101,49.077140982203645
9,165.02609842726946,151.54407116172064,-0.086846784,-0.06906341,0.28878537,-0.57980996,34.96936,49.077140982203645
10,172.8949528246705,150.93553361531528,-0.101948515,-0.0654481,0.25194544,-0.56846964,34.447327,49.077140982203645
11,175.91684813724027,146.1688323528332,-0.08350352,-0.05554672,0.26030746,-0.49563143,29.50268,49.077140982203645
12,176.72019883646232,142.6571258195945,-0.11085279,-0.04931164,0.22045945,-0.51583403,30.747574,49.077140982203645
13,176.486795315008,141.88658217539518,-0.1219543,-0.05324222,0.20026307,-0.5237098,31.006138,49.077140982203645
14,174.78272067149538,142.30961191152082,-0.11042497,-0.054197975,0.22044328,-0.5331529,31.163403,49.077140982203645
15,171.24078540175194,142.75010502329866,-0.1467062,-0.042760056,0.19874643,-0.39665556,28.50641,49.077140982203645
16,164.77796680106297,142.8008262193208,-0.14942421,-0.030011322,0.22086053,-0.37771684,27.664576,49.077140982203645
17,154.64976527612671,142.92385105927104,-0.109532654,-0.011646231,0.23610465,-0.3093424,25.439194,49.077140982203645
18,144.04009562588186,145.3989333373923,-0.118993774,-0.019224148,0.21039514,-0.32097557,24.817627,49.077140982203645
19,138.31372049750746,150.74692388765158,-0.1138127,0.007660309,0.27838776,-0.249284,26.389355,49.077140982203645
20,139.57270453392906,153.6695039985052,-0.1244982,0.0054276325,0.27898782,-0.28137037,27.980639,49.077140982203645
21,145.29732682337206,149.59453753173014,-0.12519652,0.002891193,0.2715893,-0.3051976,28.65098,49.077140982203645
22,151.15024291187655,142.19136473756342,-0.1273555,0.009213015,0.2792776,-0.3129972,29.287516,49.077140982203645
23,154.2366110963165,137.27868061617497,-0.10470166,0.04817401,0.34045935,-0.24317205,29.611614,49.077140982203645
24,154.9824399566418,134.03943863068213,-0.1332461,0.041519817,0.25196192,-0.26596332,28.320902,49.077140982203645
25,155.96272889891185,128.36970374651287,-0.13033406,0.025953578,0.23050882,-0.27757597,28.332209,49.077140982203645
26,158.51069850480616,121.64722917560911,-0.1315771,0.015453067,0.21977107,-0.29198375,28.786013,49.077140982203645
27,161.49063142813418,119.83039912662076,-0.1344686,0.0053800624,0.19802697,-0.3003685,27.744812,49.077140982203645
28,162.99022586697396,124.03735252857403,-0.14206362,-0.0057441434,0.2155812,-0.39136815,29.51307,49.077140982203645
29,162.1723511384574,128.13346340057024,-0.14965677,-0.026598725,0.24229309,-0.45837954,32.259773,49.077140982203645
30,159.97480636421935,127.10922753778969,-0.14510685,-0.027840829,0.23160012,-0.4977525,33.232635,49.077140982203645
31,158.1171126464275,123.2266866936123,-0.14901815,-0.00859243,0.21808903,-0.41094828,30.525705,49.077140982203645
32,157.01534652677486,122.17287293673351,-0.14943914,-0.009256854,0.20188977,-0.4248297,30.65593,49.077140982203645
33,155.51111976772617,125.73581513968993,-0.15342319,-0.011133222,0.1970109,-0.43589357,31.10557,49.077140982203645
