frame,right_knee_filtered,left_knee_filtered,norm_right_hip_x,norm_right_hip_y,norm_right_shoulder_x,norm_right_shoulder_y,frame_torso_length_px,scale_used_px
1,7.390336233869736,7.779131842235823,-0.10516777,-0.069470204,0.38829714,-0.96078974,42.972023,42.972023
2,43.409692593345476,45.11749527867844,-0.10999716,-0.08185075,0.38495487,-0.9576769,43.569267,43.569267
3,113.04741036200086,116.01188200957664,-0.07350802,-0.066766374,0.4443072,-0.8959282,42.137066,42.137066
4,175.71066143730135,178.31105798258605,-0.044765458,-0.051334772,0.48555446,-0.87142336,41.307556,41.307556
5,190.3492711010019,191.5086259744941,-0.08692313,-0.074324176,0.44884118,-0.8596718,38.761757,38.761757
6,169.29838092687942,168.81748427300218,-0.10250607,-0.0890767,0.43873644,-0.8595001,37.681767,37.681767
7,151.98304396114756,149.02091460587138,-0.08275348,-0.08315798,0.47093585,-0.83106345,38.477085,38.477085
8,154.1284820781648,147.06511385345135,-0.11231143,-0.08771659,0.40440387,-0.79073375,37.93101,37.93101
9,165.02609842726946,151.54407116172064,-0.12188361,-0.09692585,0.4052908,-0.81372416,34.96936,34.96936
10,172.8949528246705,150.93553361531528,-0.14524615,-0.09324397,0.35894692,-0.8098993,34.447327,34.447327
11,175.91684813724027,146.1688323528332,-0.1389065,-0.0924009,0.43301648,-0.8244733,29.50268,29.50268
12,176.72019883646232,142.6571258195945,-0.17693552,-0.07870782,0.35188204,-0.8233384,30.747574,30.747574
13,176.486795315008,141.88658217539518,-0.19303173,-0.08427286,0.31698042,-0.8289384,31.006138,31.006138
14,174.78272067149538,142.30961191152082,-0.17390084,-0.085352734,0.34716123,-0.8396265,31.163403,31.163403
15,171.24078540175194,142.75010502329866,-0.25257197,-0.07361647,0.34216535,-0.6828892,28.50641,28.50641
16,164.77796680106297,142.8008262193208,-0.26507953,-0.053240284,0.39180803,-0.67007214,27.664576,27.664576
17,154.64976527612671,142.92385105927104,-0.21130973,-0.022467839,0.4554917,-0.5967815,25.439194,25.439194
18,144.04009562588186,145.3989333373923,-0.23531155,-0.038015973,0.4160588,-0.63473284,24.817627,24.817627
19,138.31372049750746,150.74692388765158,-0.21166117,0.014246125,0.5177268,-0.46360156,26.389355,26.389355
20,139.57270453392906,153.6695039985052,-0.21836585,0.009519893,0.4893357,-0.4935146,27.980639,27.980639
21,145.29732682337206,149.59453753173014,-0.21445295,0.0049524126,0.46521366,-0.5227823,28.65098,28.65098
22,151.15024291187655,142.19136473756342,-0.21340984,0.015438265,0.46798596,-0.52448994,29.287516,29.287516
23,154.2366110963165,137.27868061617497,-0.17352848,0.07984173,0.5642641,-0.40302393,29.611614,29.611614
24,154.9824399566418,134.03943863068213,-0.23090145,0.071949475,0.43662345,-0.46088642,28.320902,28.320902
25,155.96272889891185,128.36970374651287,-0.22576508,0.04495687,0.3992881,-0.48081797,28.332209,28.332209
26,158.51069850480616,121.64722917560911,-0.2243252,0.026345862,0.3746867,-0.49780175,28.786013,28.786013
27,161.49063142813418,119.83039912662076,-0.23785833,0.009516665,0.3502852,-0.5313147,27.744812,27.744812
28,162.99022586697396,124.03735252857403,-0.23623691,-0.009551908,0.35848892,-0.6508042,29.51307,29.51307
29,162.1723511384574,128.13346340057024,-0.22767447,-0.040464927,0.36860308,-0.6973377,32.259773,32.259773
30,159.97480636421935,127.10922753778969,-0.21429025,-0.041114654,0.34202138,-0.7350686,33.232635,33.232635
31,158.1171126464275,123.2266866936123,-0.2395812,-0.013814321,0.3506286,-0.66069454,30.525705,30.525705
32,157.01534652677486,122.17287293673351,-0.23923741,-0.014819317,0.32320574,-0.6801107,30.65593,30.65593
33,155.51111976772617,125.73581513968993,-0.24206506,-0.01756556,0.31083602,-0.6877357,31.10557,31.10557
34,153.1979156674711,130.33656158942395,-0.23520467,-0.009533083,0.30668047,-0.6935942,31.104736,31.104736
35,151.40614890158685,131.61035034202135,-0.20559259,0.0009785141,0.3592142,-0.6720328,32.669086,32.669086
36,151.0691118862798,128.10965094352946,-0.22629939,-0.0033762532,0.33405107,-0.7031759,32.06094,32.06094
37,151.4257666219643,121.80321341153822,-0.22483023,-0.012803452,0.32362852,-0.7176527,32.398308,32.398308
38,151.5395760742905,116.42928998369723,-0.22660102,-0.015237778,0.31031823,-0.74006367,32.681,32.681
39,151.56563451271825,114.00633068210179,-0.2084969,-0.0062201004,0.31587324,-0.7582981,35.07993,35.07993
40,152.0529210199012,113.30085245276229,-0.19816333,-0.007879609,0.37519065,-0.78912383,35.848312,35.848312
41,152.89161845904906,112.37385997409447,-0.19873448,-0.008794155,0.36698306,-0.78523606,35.67204,35.67204
42,153.42534930932916,110.99360954638836,-0.19605291,-0.0096621765,0.36882952,-0.797257,36.03169,36.03169
43,153.46752038356686,109.53338209193248,-0.18866724,-0.019100117,0.38584572,-0.8140422,38.75629,38.75629
44,153.77000128542332,107.07288782340771,-0.20303369,-0.028716417,0.35556656,-0.82242006,38.17777,38.17777
45,155.18872498534378,103.13460969999993,-0.21330154,-0.026850626,0.3447804,-0.8433985,38.30236,38.30236
46,157.56963478896034,100.00145020517536,-0.21410006,-0.024987757,0.38038045,-0.8328769,38.730515,38.730515
47,159.9996279131081,99.93504876228927,-0.20404832,-0.003963765,0.47222215,-0.8011466,41.713932,41.713932
48,162.22012237941172,101.82721189285117,-0.21027727,-0.0049833413,0.4238086,-0.80859214,41.17111,41.17111
49,164.60948550574867,103.26274990185446,-0.2105355,-0.005473863,0.4091287,-0.80717087,40.779396,40.779396
50,166.64972187543185,103.69330997300985,-0.21888761,-0.005391897,0.40282908,-0.8124509,40.41166,40.41166
51,167.52010846507076,103.97744412136522,-0.22696435,-0.006899283,0.4188225,-0.7965727,42.412785,42.412785
52,168.1157210137133,104.77881068281937,-0.23610474,-0.023308361,0.40642083,-0.8013929,41.112595,41.112595
53,169.83630062693598,106.38015101524621,-0.23345664,-0.021897145,0.41006166,-0.80540675,41.805473,41.805473
54,171.96694912200473,108.55210250521097,-0.2409942,-0.01948567,0.3948352,-0.80178285,41.708275,41.708275
55,172.94356158717142,110.5498237908962,-0.22735323,-0.031202164,0.47169247,-0.811549,44.567245,44.567245
56,173.12596495712927,112.27858739944013,-0.24693899,-0.030472975,0.44582513,-0.8168267,43.815037,43.815037
57,173.89619159640222,114.30861255408485,-0.2420244,-0.029602285,0.43491817,-0.79425,44.016663,44.016663
58,175.22289633020733,116.38721578916613,-0.24054345,-0.026765771,0.44076294,-0.7962676,42.73478,42.73478
59,176.06600689921365,117.71308753047336,-0.21899214,-0.03135331,0.49805912,-0.78708273,45.7107,45.7107
60,176.1822422526935,118.50312618697892,-0.2353954,-0.03181421,0.458668,-0.8087888,43.87772,43.87772
61,176.1843082828925,119.6526336525201,-0.24229528,-0.030801822,0.45309952,-0.8001195,43.858,43.858
62,176.47640203299997,121.18055111529063,-0.23960412,-0.025754645,0.46109763,-0.77908844,43.53036,43.53036
63,176.71321274760925,122.31505195959363,-0.22951142,-0.033692844,0.543697,-0.8110515,45.58275,45.58275
64,176.08143934796777,122.8226012776837,-0.23737419,-0.04266187,0.542171,-0.8758531,44.246044,44.246044
65,174.3781648227145,123.20531360621844,-0.23599656,-0.04803461,0.5167814,-0.90071,44.422863,44.422863
66,172.63934091836228,123.74410340500282,-0.23502703,-0.04870453,0.5171138,-0.89378273,44.56781,44.56781
67,171.61904772690025,124.2463797603489,-0.23554236,-0.048930086,0.5199519,-0.81796867,43.66507,43.66507
