frame,right_knee_filtered,left_knee_filtered,norm_right_hip_x,norm_right_hip_y,norm_right_shoulder_x,norm_right_shoulder_y,frame_torso_length_px,scale_used_px
1,7.390336233869736,7.779131842235823,-0.012553533,-0.008292431,0.04634976,-0.11468633,42.972023,360.0
2,43.409692593345476,45.11749527867844,-0.013312488,-0.009906048,0.04658945,-0.11590356,43.569267,360.0
3,113.04741036200086,116.01188200957664,-0.008603922,-0.007814831,0.052005004,-0.10486607,42.137066,360.0
4,175.71066143730135,178.31105798258605,-0.0051365322,-0.0058903163,0.05571408,-0.09998991,41.307556,360.0
5,190.3492711010019,191.5086259744941,-0.009359147,-0.008002599,0.048327424,-0.09256219,38.761757,360.0
6,169.29838092687942,168.81748427300218,-0.010729472,-0.009323798,0.045923233,-0.089965224,37.681767,360.0
7,151.98304396114756,149.02091460587138,-0.008844757,-0.00888799,0.050334,-0.08882472,38.477085,360.0
8,154.1284820781648,147.06511385345135,-0.011833573,-0.009242164,0.042609576,-0.08331481,37.93101,360.0
9,165.02609842726946,151.54407116172064,-0.0118394215,-0.009415097,0.03936878,-0.079042815,34.96936,360.0
10,172.8949528246705,150.93553361531528,-0.0138981715,-0.008922238,0.03434656,-0.07749685,34.447327,360.0
11,175.91684813724027,146.1688323528332,-0.01138365,-0.0075724283,0.03548652,-0.06756715,29.50268,360.0
12,176.72019883646232,142.6571258195945,-0.015112051,-0.006722429,0.030054219,-0.07032128,30.747574,360.0
13,176.486795315008,141.88658217539518,-0.016625468,-0.0072582667,0.02730094,-0.07139494,31.006138,360.0
14,174.78272067149538,142.30961191152082,-0.015053728,-0.00738856,0.030052016,-0.07268228,31.163403,360.0
15,171.24078540175194,142.75010502329866,-0.01999978,-0.005829281,0.027094183,-0.054074224,28.50641,360.0
16,164.77796680106297,142.8008262193208,-0.020370314,-0.004091305,0.030108897,-0.051492393,27.664576,360.0
17,154.64976527612671,142.92385105927104,-0.014932081,-0.001587677,0.03218706,-0.042171225,25.439194,360.0
18,144.04009562588186,145.3989333373923,-0.016221873,-0.0026207394,0.0286822,-0.043757122,24.817627,360.0
19,138.31372049750746,150.74692388765158,-0.01551556,0.0010442946,0.03795132,-0.03398374,26.389355,360.0
20,139.57270453392906,153.6695039985052,-0.016972266,0.0007399241,0.038033124,-0.038357925,27.980639,360.0
21,145.29732682337206,149.59453753173014,-0.017067464,0.000394143,0.03702452,-0.041606184,28.65098,360.0
22,151.15024291187655,142.19136473756342,-0.01736179,0.0012559679,0.038072627,-0.042669468,29.287516,360.0
23,154.2366110963165,137.27868061617497,-0.014273495,0.0065673403,0.04641325,-0.033150524,29.611614,360.0
24,154.9824399566418,134.03943863068213,-0.018164825,0.0056602056,0.034348805,-0.036257554,28.320902,360.0
25,155.96272889891185,128.36970374651287,-0.017767843,0.0035381317,0.031424206,-0.037840653,28.332209,360.0
26,158.51069850480616,121.64722917560911,-0.0179373,0.0021066454,0.029960377,-0.039804798,28.786013,360.0
27,161.49063142813418,119.83039912662076,-0.018331485,0.0007334391,0.026996104,-0.04094785,27.744812,360.0
28,162.99022586697396,124.03735252857403,-0.019366879,-0.00078307255,0.029389191,-0.053353414,29.51307,360.0
29,162.1723511384574,128.13346340057024,-0.020402018,-0.0036260816,0.0330307,-0.06248877,32.259773,360.0
30,159.97480636421935,127.10922753778969,-0.019781748,-0.003795412,0.03157298,-0.067856304,33.232635,360.0
31,158.1171126464275,123.2266866936123,-0.020314958,-0.0011713664,0.029731072,-0.056022685,30.525705,360.0
32,157.01534652677486,122.17287293673351,-0.020372348,-0.0012619442,0.027522702,-0.057915073,30.65593,360.0
33,155.51111976772617,125.73581513968993,-0.020915477,-0.0015177409,0.026857588,-0.05942336,31.10557,360.0
34,153.1979156674711,130.33656158942395,-0.020322165,-0.0008236779,0.02649782,-0.059927963,31.104736,360.0
35,151.40614890158685,131.61035034202135,-0.018657006,8.879768e-05,0.032597777,-0.060985267,32.669086,360.0
36,151.0691118862798,128.10965094352946,-0.02015381,-0.0003006829,0.029749976,-0.06262355,32.06094,360.0
37,151.4257666219643,121.80321341153822,-0.020233663,-0.0011522505,0.029125044,-0.064585365,32.398308,360.0
38,151.5395760742905,116.42928998369723,-0.020570967,-0.001383294,0.028170861,-0.06718339,32.681,360.0
39,151.56563451271825,114.00633068210179,-0.020316822,-0.000606113,0.030780029,-0.07389179,35.07993,360.0
40,152.0529210199012,113.30085245276229,-0.019732835,-0.00078464084,0.037360974,-0.07857988,35.848312,360.0
41,152.89161845904906,112.37385997409447,-0.0196924,-0.000871404,0.03636398,-0.07780825,35.67204,360.0
42,153.42534930932916,110.99360954638836,-0.019622548,-0.00096706813,0.036915418,-0.07979588,36.03169,360.0
43,153.46752038356686,109.53338209193248,-0.020311229,-0.002056249,0.04153875,-0.08763682,38.75629,360.0
44,153.77000128542332,107.07288782340771,-0.021531593,-0.0030453575,0.037707604,-0.08721712,38.17777,360.0
45,155.18872498534378,103.13460969999993,-0.022694312,-0.0028567845,0.03668306,-0.08973376,38.30236,360.0
46,157.56963478896034,100.00145020517536,-0.023033906,-0.002688302,0.04092314,-0.08960486,38.730515,360.0
47,159.9996279131081,99.93504876228927,-0.023643494,-0.00045928956,0.05471734,-0.09283049,41.713932,360.0
48,162.22012237941172,101.82721189285117,-0.02404819,-0.00056991575,0.048468526,-0.092473984,41.17111,360.0
49,164.60948550574867,103.26274990185446,-0.02384864,-0.00062005786,0.046344504,-0.09143317,40.779396,360.0
50,166.64972187543185,103.69330997300985,-0.024571143,-0.0006052653,0.04521942,-0.09120136,40.41166,360.0
51,167.52010846507076,103.97744412136522,-0.026739417,-0.0008128272,0.049342856,-0.09384685,42.412785,360.0
52,168.1157210137133,104.77881068281937,-0.026963552,-0.0026618533,0.046413932,-0.09152039,41.112595,360.0
53,169.83630062693598,106.38015101524621,-0.02711046,-0.0025428347,0.04761895,-0.09352892,41.805473,360.0
54,171.96694912200473,108.55210250521097,-0.027920702,-0.0022575378,0.045744155,-0.09289161,41.708275,360.0
55,172.94356158717142,110.5498237908962,-0.028145853,-0.0038627624,0.058394536,-0.10046806,44.567245,360.0
56,173.12596495712927,112.27858739944013,-0.030054558,-0.0037088182,0.05426068,-0.0994147,43.815037,360.0
57,173.89619159640222,114.30861255408485,-0.029591963,-0.003619427,0.053176794,-0.09711177,44.016663,360.0
58,175.22289633020733,116.38721578916613,-0.028554365,-0.0031773038,0.052321963,-0.09452311,42.73478,360.0
59,176.06600689921365,117.71308753047336,-0.027806345,-0.0039810603,0.06324065,-0.099939175,45.7107,360.0
60,176.1822422526935,118.50312618697892,-0.028690593,-0.0038775974,0.055903625,-0.098577246,43.87772,360.0
61,176.1843082828925,119.6526336525201,-0.029518297,-0.0037525177,0.05520011,-0.09747679,43.858,360.0
62,176.47640203299997,121.18055111529063,-0.02897237,-0.0031141916,0.05575485,-0.09420556,43.53036,360.0
63,176.71321274760925,122.31505195959363,-0.02906045,-0.0042661456,0.06884223,-0.10269432,45.58275,360.0
64,176.08143934796777,122.8226012776837,-0.029174635,-0.005243386,0.06663589,-0.10764732,44.246044,360.0
65,174.3781648227145,123.20531360621844,-0.02912123,-0.005927319,0.06376919,-0.111144766,44.422863,360.0
66,172.63934091836228,123.74410340500282,-0.029096222,-0.006029595,0.06401842,-0.11064983,44.56781,360.0
67,171.61904772690025,124.2463797603489,-0.02856937,-0.0059348214,0.06306593,-0.099212945,43.66507,360.0
68,170.13345954252082,124.7293075417284,-0.028086599,-0.005924225,0.06339781,-0.09718263,43.67591,360.0
69,166.8561055854413,125.41357426630846,-0.027571445,-0.005588235,0.06370273,-0.095428675,43.653378,360.0
70,162.9967192886068,126.02427712971792,-0.027492099,-0.005501429,0.063465625,-0.09497829,43.60974,360.0
71,160.31421402475058,125.9586556188424,-0.023588562,-0.005489307,0.076913625,-0.09653922,46.372738,360.0
72,157.44733491355245,125.0513948322363,-0.02332094,-0.005719842,0.078607515,-0.0944177,45.88167,360.0
73,152.1063933995789,123.85889271463574,-0.021784041,-0.0052750483,0.08819334,-0.092299566,46.609615,360.0
74,145.71753874362642,123.20147069667901,-0.02288064,-0.005440309,0.0832556,-0.09396578,45.83535,360.0
75,141.37972425326262,123.38004078870549,-0.020767806,-0.0037946065,0.08690847,-0.086210504,46.346886,360.0
76,138.70585834001577,124.21334446551451,-0.0201316,-0.0031992171,0.0897572,-0.085183546,46.88179,360.0
77,135.16746278723494,125.46293777225013,-0.018887669,-0.0031621298,0.09044452,-0.08648368,47.354042,360.0
78,130.92582751676244,126.70750694558487,-0.019202678,-0.003124449,0.089693025,-0.08528607,47.14874,360.0
79,127.86816981671242,127.66439504027548,-0.020771112,-0.004952749,0.09183299,-0.09152879,48.623592,360.0
80,125.15496741390166,128.7325886264682,-0.020302244,-0.003948932,0.093241714,-0.09353379,49.12553,360.0
81,120.56792405442938,130.31561491024573,-0.020349884,-0.003753662,0.089701585,-0.09174135,48.928867,360.0
82,115.37935951551013,131.97754972040997,-0.020493487,-0.0037275103,0.08908089,-0.09204449,49.061634,360.0
83,111.78459131934864,133.0147698941725,-0.01849967,-0.0031111399,0.09611384,-0.09845661,51.56136,360.0
84,106.52629127889752,133.40849600033016,-0.018175846,-0.0016742282,0.09725206,-0.09862582,50.773193,360.0
85,95.88590085439063,133.71545950083686,-0.01907018,-0.0011387719,0.09696757,-0.09871614,51.01474,360.0
86,85.0720749373692,134.3035956112819,-0.018459065,-0.0011878967,0.098048404,-0.0990061,51.195484,360.0
87,80.2613146696908,135.05836202579133,-0.020954132,-0.003858863,0.09566744,-0.097635865,49.695675,360.0
88,75.5648742887323,135.8991624461599,-0.02079434,-0.0020779504,0.09484406,-0.08961126,49.229847,360.0
89,63.85193685594656,137.08528067388994,-0.02003157,-0.00046132406,0.093829684,-0.08402545,48.139442,360.0
