skater,condition,held_out_loss
Sven Kramer,unscaled,0.1057186871767044
Patrick Meek,unscaled,0.2534359395503998
Haralds Silovs,unscaled,0.2979214787483215
Ragne Wiklund,unscaled,0.5459602475166321
Mia Manganello Kilburg,unscaled,0.474927008152008
Jorrit Bergsma,unscaled,0.1372564733028412
Jan Blokhuijsen,unscaled,0.1331086456775665
Sven Kramer,scaled,0.1622205227613449
Patrick Meek,scaled,0.21372464299201965
Haralds Silovs,scaled,0.44101229310035706
Ragne Wiklund,scaled,0.3486323356628418
Mia Manganello Kilburg,scaled,1.4010249376296997
Jorrit Bergsma,scaled,0.13171443343162537
Jan Blokhuijsen,scaled,0.040611863136291504
