frame,right_knee_angle,left_knee_angle,right_hip_x,right_hip_y,right_shoulder_x,right_shoulder_y,right_knee_filtered,left_knee_filtered
1,158.64907785587627,166.9954312401315,231.7923355102539,190.7927370071411,252.9975128173828,152.49093174934387,7.3903351817181635,7.77913258217169
2,173.20518250437573,169.95389080093312,231.3223648071289,191.7349648475647,252.88705825805664,153.5758638381958,43.40968722982688,45.117498793670336
3,161.14377050289497,164.7121974676811,238.85656356811523,193.08083295822144,260.67577362060547,158.1423783302307,113.04739838874809,116.01188935971304
4,160.2843930046312,161.5892511236594,242.70252227783203,192.94180870056152,264.60872650146484,159.0659487247467,175.71064646869226,178.3110660457361
5,161.43356689412064,157.51870090388095,241.0639190673828,189.83941555023193,261.83109283447266,159.39796328544617,190.3492620339972,191.50862865191647
6,162.9182700072696,157.37526911270194,240.85176467895508,188.10368299484253,261.2467384338379,159.0727722644806,169.29838352761737,168.8174804578495
7,160.2757982641028,150.27723512624277,248.75438690185547,188.48528623580933,270.0587463378906,159.708069562912,151.98305078649324,149.02091123605595
8,170.79597533554963,146.6201920367169,249.02467727661133,187.67590284347534,268.624210357666,161.00974559783936,154.12848055393135,147.0651149786565
9,174.6633508365861,146.01053957352016,249.28001403808594,187.6741647720337,267.71495819091797,162.60818123817444,165.0260929868031,151.5440725889356
10,176.72507704917538,145.07691733966428,249.1842269897461,187.35577583312988,266.5523338317871,162.66891717910767,172.89495931022626,150.93553080648678
11,178.05980784295366,142.33518378328702,258.8426208496094,187.48602390289307,275.7158851623535,165.88792204856873,175.9168653303251,146.16882473932242
12,174.3857006002145,141.93118567414075,258.0327796936035,187.68523693084717,274.29264068603516,164.78965401649475,176.72020836741706,142.65711591301653
13,170.76045287718034,142.46152795437496,257.08038330078125,187.22930431365967,272.8938865661621,164.14010882377625,176.4867899895135,141.88657313085866
14,172.20664993367367,143.72108685712905,257.8976058959961,187.27831363677979,274.135684967041,163.7725818157196,174.7827159204014,142.309603659639
15,149.5068096231566,141.65367542919662,259.95235443115234,186.93031311035156,276.9061851501465,169.56212997436523,171.2407956106658,142.75009370703617
16,147.09273198707604,141.26799559012179,261.24706268310547,186.11228227615356,279.41959381103516,169.04789686203003,164.77798142102387,142.80080986111193
17,136.7009537271972,155.70892296310873,264.41741943359375,186.22034311294556,281.38031005859375,171.6102647781372,154.6497647851546,142.9238365895791
18,142.8414794233928,157.62335599157237,264.9074935913086,185.61272621154785,281.07295989990234,170.80363869667053,144.04008005769572,145.398929524846
19,143.3974971857775,142.0628300884769,264.91634368896484,188.29201698303223,284.1644287109375,175.68193316459656,138.31370206298348,150.74692657356172
20,152.148212542628,144.07002660811517,263.89171600341797,188.40024948120117,283.6936569213867,174.32502508163452,139.57268773808036,153.66950329136588
21,152.86113843742098,139.1989541849038,263.39574813842773,188.36613178253174,282.8688621520996,173.24601531028748,145.2973130248106,149.59453537527907
22,152.64719362681873,139.7485318969996,262.91406631469727,189.08305406570435,282.87044525146484,173.26989769935608,151.15023765858163,142.19136932391362
23,156.57925442077183,125.65540943768342,269.1280174255371,193.49464416503906,290.97524642944336,179.1962170600891,154.23661683743236,137.27868996885766
24,158.52591636704838,118.95527288940566,269.3992042541504,192.878680229187,288.3041000366211,177.78828263282776,154.98245261460383,134.03944414931948
25,161.61306714056687,120.3449228663911,269.6683883666992,192.23128080368042,287.3775291442871,177.3349142074585,155.9627429886,128.36970688984374
26,162.87735043287768,128.883921969325,269.77725982666016,192.23795413970947,287.0204162597656,177.1498417854309,158.5107099920765,121.64724073318773
27,162.15063892940202,127.9117426582335,273.11954498291016,191.9990873336792,289.4374656677246,176.99382305145264,161.49064002126104,119.83042102403171
28,159.16860326681552,124.5328245544325,272.6841735839844,191.83347702026367,290.2363586425781,172.90815353393555,162.99023534616683,124.03737163264958
29,158.71866972564962,121.81133923431099,272.1547317504883,191.85158729553223,291.39049530029297,170.66103100776672,162.17236327037682,128.13346469947007
30,158.4611777053482,121.74980873065164,272.06579208374023,192.19368696212769,290.55349349975586,169.1317641735077,159.97481747049918,127.10920728037773
31,155.96883113203845,128.78120194595724,273.63271713256836,193.75949621200562,291.64928436279297,174.01301980018616,158.117115567333,123.22665657635198
32,151.90140547761493,129.5588973970279,273.8471031188965,193.96248579025269,291.0893249511719,173.56735467910767,157.015335710717,122.17285542317371
33,151.78335023792195,131.39738144507376,273.69319915771484,194.32720184326172,290.8915138244629,173.4811806678772,155.51109955392016,125.73582487179212
34,152.2656869072854,129.43916927512637,273.8065719604492,194.72386837005615,290.6617736816406,173.44632267951965,153.19789938333022,130.3365872072398
35,151.3418923790494,119.83104928299866,274.9601173400879,197.35206842422485,293.41182708740234,175.36540031433105,151.40614303015022,131.61036537978543
36,150.950269068815,117.84947247331615,275.04430770874023,197.77697324752808,293.00968170166016,175.34074544906616,151.06910925579413,128.10964432750174
