Window_Index,Left_Knee_Error,Right_Knee_Error,Left_Hip_Error,Right_Hip_Error,Anomaly_Score
0,0.0322874,0.030016456,0.037199948,0.047373686,0.040679507
1,0.026011327,0.027341787,0.05821579,0.03807452,0.04220661
2,0.021630147,0.026560644,0.05399998,0.043412838,0.037980035
3,0.028621525,0.02878559,0.05062763,0.04841062,0.038851507
4,0.02645677,0.02399451,0.058485508,0.051359545,0.04042716
5,0.030340739,0.030500464,0.056044526,0.042065088,0.0382118
6,0.035266493,0.032363143,0.058283582,0.04257799,0.04038367
7,0.040612463,0.041508887,0.05764071,0.035751067,0.043288283
8,0.03680609,0.0450613,0.05597536,0.032377087,0.041517466
9,0.03997807,0.059289113,0.050540097,0.044525728,0.0473313
10,0.043513406,0.06019392,0.05790677,0.03424783,0.04837234
11,0.029286586,0.051936697,0.0627081,0.03848559,0.04652145
12,0.0347541,0.047694754,0.07438854,0.039956067,0.04896263
13,0.032869916,0.044059254,0.050988223,0.044892445,0.04363978
14,0.03510751,0.04668569,0.059915703,0.03733858,0.0471251
