Window_Index,Left_Knee_Error,Right_Knee_Error,Left_Hip_Error,Right_Hip_Error,Anomaly_Score
0,0.032763746,0.031208312,0.036327086,0.044660483,0.03990782
1,0.027896086,0.03222714,0.05293115,0.0374814,0.04076574
2,0.02288897,0.0269664,0.052725017,0.03600671,0.036990535
3,0.031312726,0.02805086,0.054346856,0.045459438,0.04051595
4,0.029844206,0.025815848,0.05551087,0.048591096,0.041064303
5,0.029063877,0.035431717,0.04798286,0.040302593,0.036959875
6,0.03872146,0.03486186,0.055576008,0.03300529,0.03919003
7,0.0420966,0.041947253,0.056778587,0.0385705,0.043925174
8,0.040850673,0.04316848,0.055968866,0.03802739,0.04308954
9,0.03829392,0.056584008,0.049236037,0.044868078,0.046046354
10,0.04176639,0.057922892,0.06067253,0.037279382,0.048681263
11,0.02924368,0.051269736,0.06111238,0.049405616,0.048395433
12,0.031444635,0.047045574,0.06652658,0.04615208,0.04847473
13,0.026683195,0.03781698,0.04803705,0.039431896,0.039675266
14,0.03601439,0.04387266,0.053419564,0.047543224,0.048177272
