skater,condition,fresh_loss,fatigued_loss,separability_gap
Sven Kramer,unscaled,0.4942125082015991,0.23739352822303772,-0.2568189799785614
Patrick Meek,unscaled,0.40114447474479675,0.4918535053730011,0.09070903062820435
Haralds Silovs,unscaled,0.4022243618965149,0.7029767036437988,0.30075234174728394
Ragne Wiklund,unscaled,0.7757574915885925,1.014968752861023,0.23921126127243042
Mia Manganello Kilburg,unscaled,0.4073035418987274,0.9303576350212097,0.5230540931224823
Jorrit Bergsma,unscaled,0.29737281799316406,0.5568779110908508,0.25950509309768677
Jan Blokhuijsen,unscaled,0.4145532548427582,0.16007275879383087,-0.2544804960489273
Sven Kramer,scaled,0.5000993013381958,0.16278234124183655,-0.33731696009635925
Patrick Meek,scaled,0.4534305930137634,0.2933513820171356,-0.1600792109966278
Haralds Silovs,scaled,0.3358094096183777,0.6643282771110535,0.3285188674926758
Ragne Wiklund,scaled,0.5158678889274597,0.6015112400054932,0.08564335107803345
Mia Manganello Kilburg,scaled,1.5586274862289429,4.1609272956848145,2.6022998094558716
Jorrit Bergsma,scaled,0.2783988118171692,0.5646622776985168,0.28626346588134766
Jan Blokhuijsen,scaled,0.0890134796500206,0.11781371384859085,0.02880023419857025
Sven Kramer,zscore_only,0.22040238976478577,0.11843641847372055,-0.10196597129106522
Patrick Meek,zscore_only,0.3149719834327698,0.2099050134420395,-0.10506696999073029
Haralds Silovs,zscore_only,0.23572400212287903,0.276382714509964,0.04065871238708496
Ragne Wiklund,zscore_only,0.6768397092819214,1.8394709825515747,1.1626312732696533
Mia Manganello Kilburg,zscore_only,0.4356350600719452,0.8844795823097229,0.4488445222377777
Jorrit Bergsma,zscore_only,0.2831794023513794,0.9077683687210083,0.6245889663696289
Jan Blokhuijsen,zscore_only,0.10035247355699539,0.10020628571510315,-0.00014618784189224243
