frame,right_knee_filtered,left_knee_filtered,norm_right_hip_x,norm_right_hip_y,norm_right_shoulder_x,norm_right_shoulder_y,frame_torso_length_px,scale_used_px
5,4.54321263966182,4.52513893470511,-0.0523414,0.0011228253,-0.15891202,-1.057642,185.34267,181.31293567566732
6,28.730228526090997,28.635146115229837,-0.12628528,-0.003680026,-0.20247817,-1.0634568,185.00334,181.31293567566732
7,83.13602003119442,83.02559906773789,-0.1441633,-0.0054762773,-0.21280259,-1.0936866,190.45407,181.31293567566732
8,149.19878303937193,149.63735666615236,-0.16339086,-0.0045327065,-0.22902422,-1.0951397,190.54437,181.31293567566732
9,192.10682779706144,194.15006296775695,-0.1698262,-0.005592751,-0.2553444,-1.0954995,190.11734,181.31293567566732
10,197.82813819950613,202.23478908829748,-0.18112312,-0.004018506,-0.28161204,-1.0840062,188.45995,181.31293567566732
11,181.55748516464593,188.0664179005526,-0.18817852,-0.005281369,-0.30109695,-1.0825275,188.22667,181.31293567566732
12,166.08947524387384,173.63431032091987,-0.18833338,-0.0035613643,-0.3068681,-1.0719352,186.62616,181.31293567566732
13,162.27183811210998,169.81192336469388,-0.19356239,-0.0062336917,-0.32443005,-1.068601,186.17844,181.31293567566732
14,166.94298640594363,174.08602808091086,-0.19770882,-0.0036039478,-0.31778228,-1.0624082,185.08623,181.31293567566732
15,172.17506965386,179.12103953741536,-0.19480792,-0.0028559586,-0.3252795,-1.0570563,184.60881,181.31293567566732
16,173.6679224043367,180.64705233498165,-0.19080321,-0.0028403054,-0.32910177,-1.0534586,184.21341,181.31293567566732
17,172.3112470229537,179.16108853681126,-0.19160321,-0.00115531,-0.34792873,-1.0518475,184.98788,181.31293567566732
18,170.86438259363175,177.15665138058648,-0.1913824,-0.0016986289,-0.35220933,-1.0488082,185.32025,181.31293567566732
19,170.7449624476674,176.21351395972852,-0.18983592,-0.0011591812,-0.34911653,-1.0380859,184.3976,181.31293567566732
20,171.5593005331586,176.24438648693172,-0.18982363,-0.00077037496,-0.34582466,-1.0310441,183.84546,181.31293567566732
21,172.39050994725827,176.42883365413715,-0.18564118,-0.0009201748,-0.32945842,-1.02178,182.6668,181.31293567566732
22,172.82746471283969,176.36054569664384,-0.18278842,-0.00046522098,-0.32881546,-1.0161033,181.95569,181.31293567566732
23,173.01225886621575,176.30764789163814,-0.17504883,0.00024136284,-0.31412077,-1.0073081,180.64487,181.31293567566732
24,173.19314811217336,176.66690132777603,-0.1756805,0.00069564336,-0.32295746,-1.0012531,179.9948,181.31293567566732
25,173.43340114085322,177.45349286214125,-0.17223477,0.0011248451,-0.33680215,-0.9745868,177.5874,181.31293567566732
26,173.6558577823067,178.31800475876994,-0.16920091,0.0012096756,-0.34380236,-0.95642465,175.98827,181.31293567566732
27,173.78742342573068,178.89832130931188,-0.1738792,0.0014683747,-0.35260874,-0.93396866,174.16736,181.31293567566732
28,173.8178158736843,179.0785519448339,-0.17830268,0.0035990668,-0.35898617,-0.92643255,174.33023,181.31293567566732
29,173.77922298713872,178.98215575607438,-0.17868054,0.0074164374,-0.3683596,-0.91528594,174.2746,181.31293567566732
30,173.72258125170643,178.80816859338972,-0.17862146,0.009012562,-0.37560216,-0.90832746,174.80916,181.31293567566732
31,173.71566123554598,178.69417413543425,-0.1817373,0.010987395,-0.39290133,-0.91660905,177.03899,181.31293567566732
32,173.77766006286052,178.71433786602236,-0.18317084,0.0124293445,-0.4001784,-0.9145662,178.17355,181.31293567566732
33,173.7965841811081,178.8807744924293,-0.18212426,0.01441394,-0.40534532,-0.906437,178.43623,181.31293567566732
34,173.6179705169874,178.99950702955775,-0.18323782,0.015815325,-0.40783098,-0.90214986,178.28023,181.31293567566732
